# ADR and MADR corpus survey, 2026-08-12
#
# Candidate corpora for feature 8 (built in ADR adapters). Columns:
#   records <TAB> repo <TAB> directory
#
# Method: GitHub code search via 'gh search code --match path', two passes.
#   Pass 1 searched filenames 0001 to 0003 (broad discovery).
#   Pass 2 searched 0010 to 0040 (surfaces deep corpora directly).
#   Counts are exact, taken per repo from the contents API, .md files only.
#
# LIMITATION: only finds repos using zero padded numeric filenames.
#   A corpus named adr-use-postgres.md is invisible here, so 257 is a
#   floor on how many exist, not a total. Per repo counts are accurate.
#
# Summary: 257 corpora, median 12 records, 85 with 20 or more, 18 with 50 or more.
# Caution: the two largest (zwasm, ClojureWasm, both .dev/decisions) look
#   agent generated rather than human written. Verify before using as evidence.
#
# Script: adr-sweep.sh, beside this file. Re-run it to refresh the survey.

14	perforce/helix-authentication-service	docs/architecture/decisions
14	island-is/handbook	docs/adr
14	hotosm/docs	docs/decisions
14	govuk-one-login/di-account-management-backend	docs/adr
14	geeksforsocialchange/PlaceCal	doc/adr
14	andymai/brepjs	docs/decisions
14	MinBZK/ai-validation	docs/adrs
14	DFE-Digital/apply-for-qualified-teacher-status	adr
14	CDCgov/prime-public-health-data-infrastructure	docs/decisions
13	ryantsai/KKTerm	docs/ADR
13	phodal/oan	docs/adr
13	nass59/turborepo-nextjs	docs/adr
13	latextemplates/generator-latex-template	docs/decisions
13	hydrogen-music/hydrogen	docs/decisions
13	anton-liauchuk/educational-platform	docs/architecture-decisions
13	TryGhost/ActivityPub	adr
12	softwaremill/tapir	doc/adr
12	mozilla-services/merino-py	docs/adr
12	microsoft/TypeAgent	ts/docs/architecture/workflows/ir/decisions
12	managedcode/Storage	docs/ADR
12	eclipse-cdt-cloud/theia-trace-extension	doc/adr
12	dxw/rails-template	doc/architecture/decisions
12	dtr-org/unit-e-project	adrs
12	babashka/sci	doc/ai/adr
12	FinAegis/core-banking-prototype-laravel	docs/adr
11	uswds/uswds-proposals	decisions
11	tw-bc-group/TWallet	docs/adr
11	Haidra-Org/AI-Horde	docs/decisions
10	thin-edge/thin-edge.io	design/decisions
10	po4yka/RIPDPI	docs/adr
10	liquidmetal-dev/flintlock	docs/adr
10	hashicorp-services/tfm	ADR
10	bob-cd/bob	doc/adr
10	ONSdigital/eq-questionnaire-runner	doc/architecture/decisions
9	seandavi/GEOquery	adr
9	openedx/frontend-app-learning	docs/decisions
9	materialsproject/foundation	decisions
9	hotosm/openaerialmap	docs/decisions
9	emson/elfmem	docs/decisions
9	defenseunicorns/uds-cli	docs/adr
9	aws/aws-sdk-pandas	adr
9	ackama/django-template	docs/decisions
9	XGovFormBuilder/digital-form-builder	docs/adr
9	Christian-Katzmann/app-it	docs/decisions
8	x0k/svelte-jsonschema-form	adr
8	ucsandman/DashClaw	docs/decisions
8	squint-cljs/squint	doc/ai/adr
8	softwaremill/ox	doc/adr
8	pia-foss/mobile-ios	ADRs
8	openedx/frontend-app-learner-portal-enterprise	docs/decisions
8	mozilla/glam	docs/adr
8	itigges22/ATLAS	docs/adr
8	hotosm/field-tm	docs/decisions
8	developmentseed/stac-map	docs/decisions
8	defenseunicorns-labs/lula1	adr
8	danielcherubini/pi-archimedes	docs/adr
8	alphagov/govuk-chat	docs/adr
8	StanMarek/ghost-complete	docs/adr
8	StackExchange/Stacks	adrs
7	superluminar-io/super-eks	docs/decisions
7	renzorlive/vimmaster	docs/adr
7	phodal/dore	doc/adr
7	opsmill/infrahub	dev/adr
7	netresearch/claude-code-marketplace	docs/decisions
7	hotosm/field-tm	docs/decisions/archived
7	grafana/grafana-image-renderer	adrs
7	govuk-one-login/authentication-api	docs/adr
7	XpressAI/SparkCyclone	adr
6	tfutils/tfenv	docs/adr
6	rosmord/jsesh	00_Documents/ADR
6	opsmill/infrahub-ansible	dev/adr
6	iodepo/odis-arch	decisions
6	contentful/contentful-core.php	docs/ADRs
6	YosefHayim/ebay-mcp	docs/adr/current
6	Vizzuality/marxan-cloud	docs/adr
6	St0ff3l/fileterm	docs/decisions
6	DiamondLightSource/dodal	docs/explanations/decisions
5	wikimedia/mediawiki-skins-MinervaNeue	adr
5	try-works/role-model	docs/decisions
5	tokens-studio/graph-engine	adrs
5	schorschii/OCO-Server	docs/decisions
5	pypyr/pypyr	docs/adr
5	pulibrary/princeton_ansible	architecture-decisions
5	openfun/marsha	docs/adr
5	open-austin/org	docs/decisions
5	moj-analytical-services/uk_address_matcher	docs/adr
5	kergoth/dotfiles	docs/decisions
5	hotosm/ScaleODM	decisions
5	govuk-one-login/di-account-management-frontend	docs/adr
5	fido-device-onboard/go-fdo	docs/decisions
5	endjin/Endjin.RecommendedPractices.NuGet	docs/adr
5	cablehead/http-nu	docs/adr
5	OpenTOSCA/container	docs/adr
5	Breus/json-masker	adr
5	Branchout/branchout	doc/adr
5	ArchSense/archsense-alpha	docs/decisions
4	umd-lib/plastron	docs/decisions
4	soaringmeteo/soaringmeteo	docs/decisions
4	skillrecordings/egghead-next	docs/decisions
4	saleor/macaw-ui	adr
4	phodal/ledge	docs/adr
4	mantidproject/documents	Decisions
4	lightmeter-ai/ControlCenter	docs/decisions
4	lets-cli/lets	docs/adr
4	kiwicom/konfetti	adr
4	kbase/narrative	docs/adrs
4	fairpm/fair-plugin	docs/decisions
4	adr/e-adr	docs/decisions
4	DFE-Digital/dfe-reference-data	docs/decisions
4	CarGuo/GSYGithubAPP	harness/decisions
4	AhmedZeer/atik	manifest/decisions
3	wemake-services/kira	docs/decisions
3	technologiestiftung/baergpt	docs/adr
3	redbadger/pride-london-app	doc/adr
3	open-component-model/ocm	docs/adrs
3	mlibrary/design-system-old	decisions
3	liquidmetal-dev/cluster-api-provider-microvm	docs/adr
3	kadena-community/kadena.js	docs/decisions
3	intiface/intiface-central	docs/adr
3	comnik/declarative-dataflow	docs/adr
3	batazor/whiteout-survival-autopilot	docs/ADR/decisions
3	HydrologicEngineeringCenter/cwms-python	docs/decisions
3	Flexiana/framework	doc/decisions
3	EBISPOT/gwas-sumstats-tools	docs/decisions
3	ClickHouse/terraform-provider-clickhouse	decisions
2	pontusab/hyper	docs/adr
2	phodal/ideas	docs/adr
2	pago/reactive	docs/adr
2	modernizing/guarding	docs/adr
2	lucifer1004/VeloQ	docs/adr
2	kamu-data/kamu-node	adr
2	jossym17/architecture-toolkit	.arch/adr
2	droher/boxball	docs/adr
2	chef/omnitruck	ADR
2	chef/mixlib-install	ADR
2	antonvolkoff/kosmos	doc/adr
2	alphagov/govspeak-visual-editor	docs
2	afterclass-io/afterclass.io	docs/decisions
2	RedHatProductSecurity/aegis-ai	docs/adrs
2	MedAdemBHA/docflow	templates/decisions
2	Hubs-Foundation/hubs-compose	decisions
1	slub/switchconfig	docs/decisions
1	schorschii/Simple-Signer	decisions
1	linagora/esn-sabre	adr
1	eclipse-opensovd/opensovd	docs/decisions
1	colliery-io/graphqlite	.metis/adrs
1	ParthibanRajasekaran/text-from-image	docs/adr
1	JuliusBrussee/skills	docs/adr
